Canton	Nom	Entrants	Sortants	AG	AI	AR	BE	BL	BS	FR	GE	GL	GR	JU	LU	NE	NW	OW	SG	SH	SO	SZ	TG	TI	UR	VD	VS	ZG	ZH	Etrangers	Inconnus
AG	Argovie	102114	99947	84050	3	16	1091	1557	714	40	17	49	115	29	2429	6	78	57	248	122	4636	261	200	114	52	40	79	216	4720	1163	12
TG	Thurgovie	38228	40801	215	31	130	109	70	53	10	10	35	107	3	156	4	23	11	1080	437	53	303	31654	44	36	16	14	131	2989	477	27
ZG	Zoug	16616	17078	600	3	0	33	10	11	2	2	5	7	1	579	0	45	42	27	12	43	1518	11	9	278	3	8	12592	675	100	0
AI	Appenzell Rhodes-Intérieures	1864	2615	10	1144	187	7	0	2	1	0	2	27	0	8	1	4	1	192	3	1	12	44	1	1	0	0	3	178	35	0
SG	Saint-Gall	84902	83932	174	796	2554	105	50	36	22	6	393	1049	4	109	2	24	11	69128	106	60	431	4653	85	10	8	33	50	1373	3570	60
AR	Appenzell Rhodes-Extérieures	14663	8756	138	534	5478	29	38	22	12	0	127	57	0	49	1	10	10	5898	67	30	43	1028	36	12	3	10	33	600	397	1
NE	Neuchâtel	22448	26340	2	0	0	246	3	3	52	26	0	0	259	0	21493	0	0	1	0	5	2	12	0	0	136	34	0	20	153	1
UR	Uri	3927	5522	18	0	0	13	4	6	1	0	2	4	0	25	0	12	6	3	1	4	32	4	5	3696	2	2	7	31	49	0
BE	Berne	192094	173407	1114	3	18	166050	461	259	6036	153	18	128	1245	1391	2342	173	212	201	31	5939	130	122	384	64	687	2258	142	847	1682	4
NW	Nidwald	4655	5952	33	0	0	11	5	7	2	0	0	1	1	296	0	3559	485	4	2	2	14	1	8	81	3	1	12	34	92	1
SO	Soleure	30912	44534	657	1	1	1348	1636	61	11	5	2	12	10	68	1	12	13	16	3	26747	5	12	10	2	8	13	9	93	152	4
BL	Bâle-Campagne	38319	50919	1217	4	12	304	29202	1718	35	24	3	35	225	152	12	20	12	48	27	3409	22	48	50	20	35	76	24	190	1394	1
GL	Glaris	5364	6669	40	4	2	8	18	6	1	1	4686	7	0	13	0	4	3	166	3	9	142	5	1	10	2	2	8	185	38	0
VD	Vaud	119439	111266	47	1	5	329	36	13	2341	2387	2	25	269	20	1389	8	2	34	7	29	20	21	166	2	105384	2177	11	147	4567	0
BS	Bâle-Ville	70056	41558	3073	4	13	522	18559	38097	74	25	7	92	1409	228	27	54	36	141	22	2469	57	56	259	24	54	115	73	290		
JU	Jura	9719	12086	25	0	0	650	89	50	43	12	0	0	8395	10	243	2	0	1	0	62	0	1	6	0	24	14	2	8	82	0
VS	Valais	49007	50253	146	1	5	515	73	24	249	357	2	5	67	100	178	13	7	36	13	102	30	29	56	5	777	44127	21	243	1826	0
FR	Fribourg	35214	43079	15	0	1	188	10	9	33751	61	0	2	8	3	35	0	1	11	1	12	0	1	19	0	849	70	4	32	129	2
LU	Lucerne	56309	53067	1046	6	25	482	70	58	38	25	30	107	12	45638	31	1558	1270	98	13	182	1553	62	413	747	57	79	1655	608	438	8
SH	Schaffhouse	10844	11985	22	0	4	5	3	3	2	2	0	18	0	6	1	1	2	20	9016	3	5	354	4	0	0	0	4	989	354	26
GE	Genève	89730	80192	26	0	0	94	16	10	207	76908	0	31	104	21	497	1	4	28	2	27	16	12	219	0	2882	811	16	99	7699	0
TI	Tessin	66455	64253	110	1	16	136	42	50	11	47	12	1252	6	87	21	14	3	74	8	36	35	31	60948	9	50	48	33	321	3014	40
ZH	Zurich	243434	226168	6600	63	231	854	433	235	105	103	822	1949	36	1280	42	152	123	4658	2008	551	4943	2215	1176	354	208	250	1787	209160	3095	1
GR	Grisons	38508	33317	466	15	57	211	150	99	24	20	405	28262	2	186	10	16	7	1488	74	104	218	191	219	23	32	22	123	1829	4263	12
OW	Obwald	3237	5163	24	0	0	20	4	3	0	0	0	4	1	81	0	156	2839	6	2	4	6	2	2	5	1	3	14	27	32	1
SZ	Schwyz	15640	23793	99	1	1	47	16	9	9	1	67	21	0	132	4	13	6	325	5	15	13995	32	19	91	5	7	108	480	132	0
			Total sortants	99947	2615	8756	173407	50919	41558	43079	80192	6669	33317	12086	53067	26340	5952	5163	83932	11985	44534	23793	40801	64253	5522	111266	50253	17078	226168	39178	232
